id,geom,People Density,Unemployment Rate,Population,Water Access,Households,Average Age,Vehicle Ownership,Health Facilities,Literacy Rate,Mortality,Electricity Access,Birth Rate,Death Rate,Internet Access,Migration,Employment Rate,Income per Capita,Family Identity Card,Registered Residents,School Enrollment
160,POINT (137.310727 35.222065),1449,27.34,18893,19.25,329018,41,1,755074,49.36,36.62,8.6,44.43,66.4,91.09,26.76,55.34,8158255,333595,59988,15.74
161,POINT (133.944971 33.926024),21975,59.39,308426,31.58,85070,44,2,778753,93.94,38.92,74.6,71.43,65.4,56.45,46.06,13.22,3324623,803111,380123,75.08
162,POINT (141.950034 42.692538),21308,50.38,892351,28.53,234329,39,2,326003,47.52,4.02,86.78,26.4,87.05,10.62,92.0,13.48,8414138,651519,775524,95.92
163,POINT (145.340255 43.267579),7687,20.44,351537,19.57,902516,56,0,111319,38.65,38.56,28.67,9.22,62.41,49.21,75.71,72.89,11602785,765881,552782,4.22
164,POINT (130.803310 33.186245),4051,54.97,883546,58.72,930574,28,5,876584,9.82,58.56,91.51,32.22,62.48,6.77,30.01,22.27,14144423,602309,920297,77.19
165,POINT (141.953433 39.366239),24547,59.59,971659,99.64,412957,65,4,833343,83.68,0.17,59.75,47.67,75.67,47.26,33.09,55.96,4064606,544909,605183,25.3
166,POINT (143.114482 43.073173),4236,34.4,576986,71.69,386892,50,0,287428,44.91,35.42,95.5,13.83,32.57,57.58,18.84,96.6,8313305,357143,568993,33.72
167,POINT (142.029947 39.560784),5533,86.53,721021,19.75,265425,77,2,915721,91.71,57.75,80.75,70.43,19.01,59.05,23.44,57.18,14921533,924873,985999,90.44
168,POINT (143.429133 42.946766),8058,97.81,707950,88.8,300978,37,5,582764,45.67,98.53,88.09,40.24,93.88,83.77,17.41,65.36,3800514,300964,321429,75.15
169,POINT (140.562863 35.743686),6724,87.1,610408,23.69,49618,55,0,193931,22.92,61.32,5.21,46.4,15.23,35.25,8.81,24.73,9597056,148722,582819,76.14
170,POINT (137.444273 36.828844),20251,91.79,139553,18.28,935869,59,1,840411,4.33,12.89,96.69,29.43,10.43,52.93,31.4,23.35,3917713,505176,87476,40.74
171,POINT (142.829989 43.496702),24832,4.02,929933,48.89,595851,34,5,240149,6.35,35.37,66.67,17.73,24.56,71.05,40.62,18.12,14905783,750312,347314,50.05
172,POINT (141.493954 43.166716),4903,37.66,101015,57.0,70985,38,3,752025,67.44,91.97,91.69,4.43,7.16,1.13,29.54,65.34,9367959,420057,114129,91.18
173,POINT (132.915805 34.738627),6979,63.71,675407,38.48,941536,37,1,331020,22.64,31.52,59.2,61.86,95.81,37.25,90.67,6.41,14667527,333632,966110,35.14
174,POINT (140.301923 36.877445),2722,94.97,454543,0.99,374658,37,0,20948,88.47,3.59,48.22,67.99,52.64,88.96,45.48,31.55,11215190,745195,218855,11.08
175,POINT (135.818529 34.031252),3995,37.21,152267,74.4,287599,72,4,185245,4.15,14.89,78.78,35.24,44.18,66.8,59.84,84.49,13863747,515724,198391,51.24
176,POINT (133.520623 35.199014),6319,74.8,449263,37.55,220339,48,5,320409,73.45,29.09,65.4,51.32,75.18,53.18,66.95,22.22,9119056,567840,868036,91.69
177,POINT (137.492026 35.714315),23673,54.1,457639,5.42,960027,56,5,453264,13.42,63.59,29.01,60.4,21.98,84.73,21.31,17.37,14272515,989341,432904,70.78
178,POINT (135.143799 35.303047),11416,26.19,83535,11.3,27392,77,3,533346,64.63,26.85,28.29,77.87,34.06,66.2,6.76,73.49,10941530,787173,302748,55.07
179,POINT (143.899834 43.744264),5857,75.56,739311,77.54,770667,80,5,721692,22.83,74.38,63.24,34.73,82.21,87.92,82.03,43.05,3068746,182293,702346,33.4
180,POINT (144.252194 43.989539),10441,1.2,170859,87.9,174680,33,4,49892,59.41,61.08,61.23,96.17,10.54,56.49,82.85,98.09,12722067,87200,998469,43.74
181,POINT (123.877245 24.352719),16939,67.3,405522,25.59,167038,50,1,386496,10.74,24.99,77.89,48.55,46.98,29.69,88.9,84.28,5246598,883096,96796,87.63
182,POINT (132.802964 35.223430),23237,82.75,230290,66.56,312213,68,3,685995,58.21,30.9,82.71,29.36,19.31,53.0,98.02,30.67,4302040,562026,776330,53.51
183,POINT (138.920826 35.320654),8870,5.06,106200,5.3,116054,58,1,674559,62.17,47.29,13.78,74.49,96.57,76.4,10.11,81.67,6178305,170620,855031,38.08
184,POINT (137.138086 35.637256),6098,29.97,290530,86.63,357470,65,1,537539,80.35,70.22,4.8,82.01,31.64,70.19,99.06,56.08,4082363,803188,689257,71.76
185,POINT (143.672393 42.701652),2507,62.69,88593,47.4,860621,24,5,322368,33.8,88.47,40.77,56.59,34.09,94.39,44.74,76.5,10244610,96223,414558,98.6
186,POINT (135.347104 34.813713),11579,37.67,92705,54.43,423406,35,4,457378,28.53,31.41,50.97,61.93,99.4,14.45,8.13,29.3,11696975,656460,669756,0.3
187,POINT (140.516367 38.043668),2762,85.76,456192,31.73,777431,72,3,311830,21.28,38.09,47.68,89.04,44.89,88.54,65.59,15.71,12513805,183247,59159,5.1
188,POINT (134.737292 35.040336),4550,20.4,965745,39.99,671162,72,5,604085,31.24,64.08,63.41,13.16,85.2,41.83,58.14,12.07,14700478,305851,854231,97.7
189,POINT (140.937463 39.903140),15486,57.24,369060,79.19,287231,80,1,689648,60.05,83.09,67.99,56.11,63.91,54.0,36.98,47.0,1961192,259528,920090,90.3
190,POINT (134.342873 35.510500),2198,82.67,925053,32.88,155136,57,3,119651,91.12,9.55,43.33,95.5,42.67,52.15,43.82,14.49,9665391,609493,733538,65.89
191,POINT (133.306444 33.419995),24857,20.45,143937,8.41,747368,37,1,716290,18.53,78.19,94.04,40.36,28.84,44.33,98.05,90.19,12340891,520774,497563,89.81
192,POINT (140.343210 40.362401),7290,8.05,293140,41.97,169066,79,5,72409,92.34,93.32,37.68,88.38,82.17,2.48,32.95,87.71,14257674,659165,32431,91.07
193,POINT (136.599622 35.207190),21334,94.1,30091,42.21,377892,46,3,886676,65.9,75.89,21.52,75.85,50.75,89.54,23.15,28.85,11531087,132469,455280,16.83
194,POINT (140.793945 39.752154),16409,86.54,758242,66.59,493995,52,4,755518,43.06,90.87,85.09,17.2,51.86,6.86,90.47,29.34,1596494,344561,712915,86.05
195,POINT (142.479352 42.275218),13142,67.6,701280,20.81,850107,43,4,813318,57.74,55.84,15.75,29.98,76.48,38.78,35.66,99.87,11318067,181944,936643,74.06
196,POINT (134.035055 34.212237),19249,0.91,973688,89.14,631746,42,4,691356,46.58,33.21,84.24,44.37,36.81,50.29,80.25,41.92,7483478,691339,905441,93.61
197,POINT (140.859807 39.303416),6118,15.52,656992,50.73,431489,66,4,271360,18.82,17.66,0.58,30.4,42.83,39.84,45.16,20.22,4139825,106473,956479,57.93
198,POINT (135.660817 34.927796),11844,2.47,388320,69.98,980728,22,1,899333,12.46,10.62,48.76,47.02,27.94,38.32,61.48,96.77,8212951,623760,563860,11.6
199,POINT (132.343534 33.504728),15247,79.6,999321,46.5,509503,78,2,157571,23.28,68.86,6.84,35.33,0.36,41.95,59.04,73.84,12108063,2265,917125,74.55
200,POINT (143.012251 42.888316),3566,83.23,431003,83.85,495911,74,5,381548,96.49,40.02,48.51,67.47,90.06,88.04,17.58,92.76,4242975,735354,836717,18.57
201,POINT (139.980532 38.016189),17356,51.94,480381,25.33,79054,23,5,114487,1.81,76.15,61.66,31.68,65.24,35.2,51.05,72.52,12662442,12574,812056,28.15
202,POINT (130.953967 32.097900),23745,9.35,91834,51.73,526386,22,0,649928,56.41,2.53,77.84,69.58,94.8,82.23,31.2,51.39,6330816,499446,606334,1.37
203,POINT (135.353669 34.792687),4056,40.77,435517,75.81,190234,52,5,799421,33.39,34.86,6.68,31.02,64.65,8.07,79.1,74.33,8651553,806716,246811,2.98
204,POINT (130.231921 31.983188),5042,94.17,97905,78.27,347354,36,5,425025,29.51,59.83,90.1,63.36,3.28,32.57,90.08,44.74,3189655,655546,16042,55.46
205,POINT (138.097317 36.404365),7619,81.87,166071,5.78,70648,51,0,828827,4.86,31.72,28.13,46.91,77.25,99.43,19.73,41.33,5356021,61051,729427,38.57
206,POINT (142.757501 42.883756),3415,70.62,546109,86.11,349497,71,1,836069,61.02,86.45,34.25,37.67,69.57,54.17,68.53,43.3,5395355,396425,706544,70.63
207,POINT (145.260522 44.152094),5019,77.48,400825,29.8,53263,58,3,414171,49.32,15.43,39.24,16.78,79.93,50.23,58.86,10.05,3479936,100296,519821,43.16
208,POINT (136.959293 35.521622),11348,22.02,930530,90.69,857867,62,5,301635,23.87,52.26,71.22,37.27,92.82,92.9,6.54,92.99,12512804,690539,351952,29.05
209,POINT (141.930803 39.376342),15255,31.0,365789,34.51,354912,80,4,780093,62.72,81.69,22.51,33.67,67.42,73.36,33.17,68.42,14357621,977117,611198,69.88
210,POINT (143.496285 42.653247),4138,93.31,161088,46.28,36441,74,3,669633,92.85,19.39,0.94,36.08,18.9,7.32,48.77,41.11,14867899,305525,81873,0.63
211,POINT (136.694617 34.340510),10678,22.27,111290,41.04,58373,22,2,26367,15.68,30.97,32.84,45.43,57.95,56.85,89.72,94.27,9415703,308159,891410,15.89
212,POINT (133.697898 35.376506),24968,52.22,228535,49.96,582239,54,1,592718,93.83,15.35,0.73,89.67,43.01,1.83,33.12,33.68,12788075,997843,207345,91.37
213,POINT (139.950607 37.481871),18896,32.38,898028,50.19,364166,68,5,908960,91.56,74.38,95.95,46.5,99.27,20.38,2.31,34.09,11198240,184532,312734,50.38
214,POINT (137.948636 35.980065),7735,51.63,417515,52.78,490619,41,2,671448,86.58,74.68,9.32,58.35,17.88,19.65,78.73,42.59,12406378,16627,831078,94.86
215,POINT (138.241619 36.243574),11783,63.3,188159,26.37,93517,41,4,583320,15.96,30.41,72.24,47.68,60.64,3.08,5.07,20.43,11202506,187894,801690,25.15
216,POINT (140.120583 35.979670),13110,56.4,685937,40.09,706541,60,3,862889,36.66,57.52,54.86,28.46,55.23,98.57,80.89,93.98,10718542,357345,352280,35.46
217,POINT (140.440947 39.323323),14440,7.79,629029,34.27,798730,37,3,237662,60.61,33.88,31.91,23.8,1.48,41.48,93.71,89.63,12768924,903354,984632,96.96
218,POINT (138.476783 36.141877),6761,53.46,646437,97.46,418441,42,1,459796,25.32,60.86,77.01,7.58,26.94,78.04,79.53,46.46,6964295,681980,539102,2.68
219,POINT (138.946040 35.962503),16172,7.97,305560,49.82,880089,55,3,228557,67.86,34.05,11.06,49.05,45.69,22.7,62.15,6.12,4680689,790718,789166,41.47
220,POINT (140.197539 35.289748),18325,33.27,119336,4.85,152300,38,3,189728,24.75,70.18,74.88,1.82,60.03,54.68,73.67,62.62,3515145,753561,149657,54.91
221,POINT (140.298298 37.195731),9889,98.1,599591,18.63,618477,41,3,210869,67.39,20.28,88.59,46.12,79.51,40.77,34.04,96.59,8156761,688624,570559,15.42
222,POINT (136.761761 35.579890),23745,66.29,505385,28.81,934094,35,4,410717,33.88,74.53,38.72,23.6,24.59,18.12,39.88,91.93,13261009,621980,231978,76.73
223,POINT (133.416207 34.950575),18198,88.73,644162,65.02,246159,26,3,379295,11.81,71.58,72.27,78.64,12.46,59.96,42.01,96.16,13538610,9736,125467,51.3
224,POINT (140.212454 35.520945),3708,3.79,700968,77.85,599047,54,1,220712,21.69,85.66,1.75,87.35,33.32,1.79,75.42,64.95,14378287,380605,321615,43.67
225,POINT (136.962536 36.358389),16400,50.97,333447,9.14,564624,25,3,231210,85.81,11.44,74.12,22.19,83.81,69.53,91.73,44.78,3170161,13750,562952,37.62
226,POINT (130.988323 31.409724),14583,84.64,440817,58.24,956293,30,2,651039,42.15,43.97,46.42,25.2,36.37,94.27,59.32,58.18,14197979,695542,294062,8.73
227,POINT (139.464263 35.351118),8706,79.33,760394,46.41,797608,47,4,702987,87.68,71.92,75.22,47.78,99.15,22.3,1.03,56.29,5468785,844864,44605,83.0
228,POINT (135.593835 34.191696),19942,27.29,523208,81.65,719249,28,0,269542,95.45,20.59,56.82,85.93,64.33,12.94,62.71,56.06,2122532,777827,556766,76.04
229,POINT (141.278410 39.659079),12490,65.25,918180,40.93,987194,55,1,422719,45.66,52.65,77.1,77.94,55.88,24.11,89.94,17.2,3301441,878966,416804,39.96
230,POINT (140.208202 42.183934),7141,10.22,412549,16.8,954337,62,0,515116,97.98,82.29,1.05,89.79,50.79,23.0,31.53,16.56,10680752,159706,449421,87.75
231,POINT (140.133422 42.573457),13688,61.99,571813,17.63,192428,72,5,565359,50.48,36.01,79.34,67.08,97.24,49.23,28.58,30.96,6777288,589340,436311,84.23
232,POINT (135.147927 35.427741),24866,61.02,757608,34.89,703989,20,4,511264,61.66,63.0,35.71,42.82,18.65,37.11,13.76,6.62,1799928,898611,447364,76.66
233,POINT (141.346266 38.754303),1968,4.33,99807,98.14,695257,54,3,411870,88.03,67.74,34.33,42.29,39.98,96.43,85.0,12.39,2590923,47793,228879,75.68
234,POINT (140.395352 38.056490),16806,21.67,376344,54.15,796191,51,2,258441,50.64,17.23,49.37,27.46,58.0,41.7,95.33,2.75,1809277,25807,709392,23.29
235,POINT (140.804988 43.024401),8456,31.28,453642,89.69,306959,39,0,832420,46.49,9.48,16.36,90.63,62.14,91.03,32.96,97.61,5295961,967089,56156,29.54
236,POINT (134.382775 33.789123),4543,65.75,935645,64.87,875018,39,2,121596,71.39,8.73,34.56,94.2,89.4,40.23,9.23,65.3,10882860,894602,371737,86.38
237,POINT (139.820082 38.688066),23561,93.51,58111,19.56,850035,78,2,875055,12.94,80.03,60.75,26.03,37.31,2.23,68.29,64.67,3649769,274498,239721,75.3
238,POINT (139.727597 36.619980),15500,50.77,558368,70.62,666906,68,5,303925,16.97,48.89,1.7,77.23,1.16,29.5,31.61,25.47,14458903,374503,393656,16.81
239,POINT (133.115314 34.572684),3161,29.92,763648,48.98,584836,42,3,600590,43.31,92.15,52.25,57.14,0.72,5.38,76.55,16.34,1024841,817073,683985,91.68
240,POINT (131.033698 33.659108),23648,41.23,117313,20.94,50915,54,2,350046,53.13,81.73,32.96,92.4,75.39,58.93,52.94,20.14,2077081,450746,657618,84.48
241,POINT (142.035199 44.385085),4492,33.14,547803,81.05,828863,60,3,893905,16.18,78.42,41.4,4.28,48.66,70.34,10.76,59.44,12510008,605185,389073,70.68
242,POINT (141.641004 40.426918),16335,41.89,487735,76.07,280502,34,3,90247,89.31,80.09,96.51,12.97,90.83,21.42,43.74,38.32,14325425,651290,984363,88.19
243,POINT (137.945716 35.067894),4154,79.64,295438,30.8,756195,37,2,244324,86.05,31.97,79.44,7.78,5.3,75.41,4.57,75.92,11789443,871373,809186,21.89
244,POINT (136.996165 36.812152),19615,3.24,118847,0.53,960184,43,4,194941,15.71,23.66,77.45,68.01,72.03,40.88,59.71,7.76,4385344,504634,280847,5.11
245,POINT (136.359606 34.251095),8113,20.1,526365,43.79,209979,62,1,678343,92.61,23.87,17.23,45.76,17.71,66.62,70.72,94.41,5056485,890626,344683,33.34
246,POINT (139.246873 37.883999),3615,94.97,404658,10.4,449034,41,4,288048,15.26,32.1,54.86,70.23,41.18,17.7,78.2,44.65,9832282,495640,721369,91.82
247,POINT (135.452528 35.108811),4230,82.6,32028,34.61,140508,67,4,922587,23.28,49.59,7.67,53.39,84.91,53.75,33.4,6.17,5355721,44703,699940,99.69
248,POINT (134.268195 34.991460),18300,35.32,794953,11.65,155808,45,3,539213,67.04,91.27,0.87,10.76,0.33,97.58,28.18,29.69,4921569,446015,132191,2.7
249,POINT (140.589628 36.820088),8421,49.74,751901,70.07,881205,67,1,562581,16.94,90.9,3.22,0.83,41.31,49.66,5.09,69.16,9753358,912596,440892,33.33
250,POINT (139.056480 35.984333),1582,0.0,693809,39.8,106707,46,3,606050,98.7,19.67,84.48,31.47,76.8,32.47,7.84,49.88,13678966,815838,828701,82.63
251,POINT (142.996941 43.170418),9090,80.13,530425,68.37,443060,70,0,587591,31.13,24.44,12.68,27.86,6.08,20.77,30.77,27.64,6005766,938887,524751,96.19
252,POINT (143.742408 43.068128),23141,64.16,936949,71.25,904527,72,0,18205,2.01,51.45,22.97,93.99,14.96,32.61,75.97,29.86,5409269,429136,834164,14.28
253,POINT (136.483576 36.308779),17579,64.52,868944,68.78,211669,79,0,417797,70.38,60.7,22.4,96.33,23.52,83.92,87.68,10.06,3784288,905912,719189,4.63
254,POINT (133.841156 33.785269),23310,99.34,484791,47.91,55777,71,3,926625,7.88,75.47,54.73,64.26,93.19,81.79,69.52,41.57,3383862,738491,992305,30.48
255,POINT (131.638380 33.564622),21467,80.72,315751,9.55,840409,24,5,726075,54.02,51.22,43.54,51.0,53.43,67.41,44.93,41.31,3954471,973701,118658,11.84
256,POINT (139.338927 35.813982),6264,20.23,723854,37.97,803398,32,1,481931,62.19,24.35,98.87,88.48,21.08,86.75,54.6,95.22,9948563,472744,620230,5.4
257,POINT (138.005124 34.750708),2994,20.26,114057,69.48,719831,67,1,695954,27.4,37.96,5.38,24.75,99.88,10.27,46.46,28.07,1779489,578812,475246,89.04
258,POINT (131.977543 32.891291),9705,79.24,837988,6.82,468613,46,3,489068,25.76,26.1,78.7,47.57,69.03,80.58,72.39,46.8,14617343,865020,723513,43.02
259,POINT (139.569534 36.515074),10959,89.39,237069,82.59,257959,47,1,472528,88.22,46.81,8.69,89.04,52.29,42.29,0.74,44.72,1520409,508298,355967,57.72
260,POINT (133.910608 34.911779),16818,76.45,17812,42.42,786581,66,2,35040,95.65,22.29,91.12,58.87,66.26,39.54,22.67,78.97,13023362,39422,231133,90.06
261,POINT (136.557592 34.555089),23503,32.07,836171,24.26,896629,80,2,579251,12.14,21.09,18.88,20.86,93.02,33.01,25.64,69.18,7155379,303852,361361,58.01
262,POINT (134.195734 33.864203),6444,34.64,756560,74.7,884418,34,1,858336,59.03,98.1,37.48,56.38,10.37,57.97,61.84,77.63,14681339,777964,71626,95.56
263,POINT (135.788474 34.878140),11414,40.71,810090,50.76,677410,47,3,869074,43.51,4.52,93.83,76.45,33.07,78.3,57.96,16.0,14640287,31821,465629,27.56
264,POINT (136.971463 36.051810),13233,71.2,920704,72.16,481085,45,1,538469,14.75,13.26,58.95,80.24,25.35,24.7,8.71,76.13,2300260,301245,240497,4.3
265,POINT (141.752184 43.087856),16127,81.74,707909,65.96,792217,72,0,570216,37.27,38.72,14.03,18.32,95.98,59.13,84.09,46.28,10657945,270522,210054,82.03
266,POINT (140.391946 35.798633),24672,12.43,711895,88.73,608072,78,4,207578,17.56,90.66,38.89,4.8,88.2,47.16,40.32,83.58,4265637,16112,706947,19.5
267,POINT (132.964458 34.935601),15338,96.41,715829,1.63,450743,43,0,280688,2.92,98.43,22.37,49.51,39.42,48.54,9.65,38.92,10579460,870323,578161,6.04
268,POINT (140.566509 38.281948),12429,0.14,188700,21.86,61346,75,1,28206,48.79,47.39,2.25,54.99,16.5,98.48,84.12,9.0,8576061,98957,23353,12.45
269,POINT (139.791061 37.089962),8894,27.77,84885,1.85,682350,68,1,176999,16.18,20.81,86.89,29.52,29.38,37.5,62.82,53.63,5362912,453651,970658,73.47
270,POINT (140.240131 41.654126),7210,85.01,947567,34.58,961393,37,2,494021,32.11,20.41,3.93,88.64,69.94,25.25,9.86,94.94,7952936,236787,341751,44.82
271,POINT (138.766018 37.474413),5462,62.94,806096,96.86,955927,30,3,37715,58.57,42.39,54.55,26.33,16.06,38.29,23.54,42.07,5311656,329002,895728,85.43
272,POINT (141.214746 39.263708),18743,55.88,637196,16.91,287935,21,2,440076,28.28,36.09,39.3,4.01,90.96,11.94,45.91,33.15,3873530,513350,470631,7.06
273,POINT (132.792012 32.905578),17765,94.13,860191,73.44,367589,33,3,610931,72.04,58.74,76.92,72.9,11.28,15.35,61.39,99.06,2232272,487891,139052,32.55
274,POINT (136.172213 36.069713),17415,52.75,307129,34.92,66502,27,1,514211,97.28,78.74,78.64,99.49,71.46,88.98,93.11,13.56,4247253,483918,670486,98.03
275,POINT (141.596888 39.159991),23396,20.46,9793,64.82,876496,30,3,88418,39.73,23.66,6.74,32.64,22.28,85.56,86.73,21.95,12062610,467826,28699,16.33
276,POINT (133.121270 35.086492),13545,13.76,491650,79.87,298446,36,0,765044,53.6,44.97,52.04,41.6,20.69,43.56,99.06,96.54,1451488,293498,314069,13.29
277,POINT (142.360859 42.720895),10660,59.53,611074,34.12,708384,47,3,228025,56.87,20.65,82.97,78.28,66.91,30.82,20.42,61.4,8998019,728739,951292,16.56
278,POINT (135.854519 33.977134),18292,66.89,223311,54.91,195847,32,1,630873,44.26,92.69,70.34,4.44,55.7,80.47,94.28,80.36,7310465,308445,928000,83.16
279,POINT (140.400135 38.739320),10788,25.12,989300,37.97,149069,77,2,92808,10.95,59.73,15.96,94.25,76.78,53.78,51.44,53.76,5022468,169493,350920,27.87
280,POINT (130.889119 32.057474),22309,49.02,381252,14.6,826873,33,3,302671,33.45,79.06,87.29,73.14,67.87,28.7,98.99,58.77,12036854,558821,679434,73.35
281,POINT (140.083549 38.217986),6631,8.89,848540,97.44,440198,29,3,969911,96.26,50.98,21.72,82.85,79.17,60.51,24.92,97.09,14741002,364086,546093,37.17
282,POINT (135.247552 34.962282),15763,55.13,626258,29.18,440054,57,1,816409,18.69,57.4,15.99,33.87,44.88,34.82,27.13,34.97,14925855,238648,750458,1.34
283,POINT (138.697443 35.921819),5709,93.73,378368,97.6,926182,64,1,989755,11.89,66.09,6.22,18.53,94.62,93.02,47.61,82.66,4923991,951433,741494,44.22
284,POINT (137.371405 36.466838),5364,99.94,554288,39.68,204540,27,5,579451,0.19,74.75,84.6,14.1,88.99,81.93,56.19,45.48,7869196,251115,732788,36.72
285,POINT (137.037501 36.169876),24378,21.67,955036,71.4,43761,32,4,271514,63.34,81.16,68.15,29.48,2.47,3.82,69.39,44.28,8668083,318736,704249,78.41
286,POINT (137.596966 36.240456),17179,93.58,892422,37.88,421475,70,1,538899,33.16,85.37,93.9,85.62,75.21,20.51,87.51,42.5,6142370,383645,458957,27.46
287,POINT (143.027256 44.023643),17475,96.93,153699,26.22,146525,28,4,148033,38.84,29.18,73.07,10.4,77.72,49.55,33.2,10.1,12918067,368626,409747,51.15
288,POINT (142.332497 43.249265),5376,68.72,33959,63.85,800441,76,2,158322,80.67,50.61,77.92,39.82,41.62,67.8,32.18,50.93,8851024,925812,910559,61.62
289,POINT (138.955195 37.684826),11236,17.76,687405,16.49,569078,37,2,423932,36.55,78.31,26.03,21.57,2.6,60.33,15.3,18.37,7762186,404411,185606,76.56
290,POINT (131.239424 34.342502),14157,84.18,201934,18.2,995414,68,5,459298,77.93,29.72,97.58,88.34,73.91,83.42,35.76,16.23,8063266,989590,843329,61.64
291,POINT (136.042164 35.533102),17177,46.0,678030,91.26,457066,66,2,808537,5.1,79.78,63.42,72.25,79.46,84.16,12.88,63.62,8363617,503579,517677,60.2
292,POINT (142.766216 43.604449),8131,68.67,815999,70.64,464167,54,0,603950,52.51,58.84,65.04,3.16,97.78,30.42,38.7,42.89,4859111,840196,921224,26.33
293,POINT (144.243281 43.443919),7473,25.77,751503,86.74,773406,72,0,521839,68.86,53.65,60.58,80.76,7.48,84.52,35.0,29.5,2489286,348757,415285,87.95
294,POINT (137.514866 35.216393),10097,5.06,334795,96.12,261187,56,0,603337,48.55,84.27,61.46,31.32,54.31,41.44,86.77,56.27,2400497,368250,929397,69.65
295,POINT (138.986899 35.183763),19807,60.57,142843,87.93,383144,59,3,749308,41.14,0.25,0.42,47.51,36.55,63.47,47.73,11.84,13393123,560306,796720,93.51
296,POINT (141.881412 39.315374),19545,21.85,230262,35.61,233516,37,3,678409,95.62,81.96,88.47,95.92,92.07,9.61,55.27,44.95,6319892,148584,850925,65.59
297,POINT (138.872336 36.284239),23525,80.55,382281,39.65,825639,71,0,301039,77.74,55.03,54.9,90.18,63.93,73.39,6.72,18.48,3634225,775932,172480,15.62
298,POINT (142.845364 42.213699),18103,72.3,180243,73.28,729002,21,0,206941,5.94,93.44,49.71,55.36,73.47,66.98,85.19,3.67,8491231,624301,590383,48.37
299,POINT (132.606320 33.454845),12762,88.49,571719,41.2,41963,72,3,400942,45.57,51.16,89.96,1.48,1.39,50.92,52.71,83.5,8768280,610712,739387,59.65
